CompanyID,Description,TargetWorkCatergoryIDs
1580,"At ABC Engineering, we provide a comprehensive design and build service for mechanical & electrical works in London and the home counties. Our mission is to ensure that every project runs smoothly from start to finish with our experienced team providing continual support throughout the process. We have an in-house design department ready to tackle any potential issues as well as implementing proactive measures to reduce risk.","[80, 73, 94]"
1581,"Tech-Future is a specialist data centre professional services provider. Our team of Designers, Engineers, Consultants and Project Managers will collaborate with you to guarantee that your project has the necessary knowledge and experience needed for success. Tech-Future’s service portfolio includes every stage in the life cycle of a data centre such as; feasibility studies, site/facility acquisition and development, concept/technical design, project management optimisation end of life planning refurbishment decommissioning etc. We strive to work closely with our clients so their goals are met by adapting our services team projects commercial structures accordingly. What sets us apart from others is our ability to integrate seamlessly into any organisation while maintaining an atmosphere of collaboration throughout all levels within our company.","[59, 61, 63, 75, 80, 81]"
1582,"Flowtron Ltd, A top-tier provider of Absorption Chillers, Industrial Heat Pumps, Control valves and Actuators, Industrial Controls and Automation, Web HMI, Brazed Plate Heat Exchangers etc. in the UK and Europe. We are devoted to customer satisfaction and take pride in delivering services that add value to build long-term business relationships for our clients' benefit. Our passion is providing excellent service with a focus on customers at all times. With 25 years of experience working with Absorption Chillers across industries such as Refinery, Pharmaceuticals Healthcare Paper Universities etc., we understand your needs perfectly well so you can count on us to provide tailored solutions just right for you!",[74]
1583,"E&K Electrical Services Ltd. is a well-established electrical installation firm, specialising in commercial and office-based projects. With more than 12 years of experience, we can provide an excellent service that is delivered on time and at competitive prices. Our services cover design to installation and testing & commissioning; plus, we are approved contractors of the ECA & NICEIC which allows us to maintain our high level of service quality. We have recently been awarded CHAS (Contractors Health & Safety Assessment Scheme) accreditation as proof of our commitment towards meeting health & safety standards.",[63]
1584,"We are a multi-faceted organisation with in-house capability and expertise to provide top quality services across the Construction Industry. Our areas of specialisation include Ground Works, Earth moving, Civil & Environmental Engineering, Plant Hire, Road & Street works, Site Clearance Drainage Building & Maintenance Demolition and Equestrian Services. With more than three decades of experience in this field we take pride in our commitment towards excellence customer satisfaction and cost effectiveness. Health and safety is an integral part of our operations; all personnel possess CSCS cards as a minimum requirement besides being enrolled into continual training programmes for professional development. At ABC Constructions Ltd., we strive to make every project successful!","[24, 49, 47]"
1585,"Elegance specialise in the supply, installation, service and repair of manual, semi-automatic and fully automatic operable walls, conventional sliding/folding partitions, moveable glass partitions and the unique fully automated Skyfold Powerlift partition system. We are also UK distributors for Dorma Huppe, Skyfold & SWG. Elegance operates through a network of regional offices to provide local service to all customers. As members of AIS (Association of Interior Specialists), we have won multiple awards including four consecutive years from 2008-2011. Our services include full technical support with detailed contract drawings using CAD software as well as an Integrated Management System accredited by Bureau Veritas with BS EN ISO 9001; BS EN ISO 14001 & BS OHSAS 18001 certification plus Constructionline CHAS CSCS (100% compliance) PASMA IPAF Health & Safety Policy Risk Assessments Site Method Statements policies procedures guidelines etc..",[15]
1586,"Founded in 1989, The Heritage Restoration Group is a well-established specialist in historic building restoration and roofing with a team of highly skilled tradespeople and managers who guarantee the successful completion of quality projects. With decades of expertise when it comes to restoring buildings using stone and timber as well as traditional roofing techniques such as lead, copper, zinc and slate; The Heritage Restoration Group has worked on some of the UK's most renowned civic structures and churches. It takes great pride in its craftsmen's skillset along with its steadfast dedication to top standards which can be seen not only through their work on old buildings but new ones too. They are more than willing to assist clients or contractors from concept all the way up until completion while also providing design advice throughout this process.",[32]
1587,"We provide and install all carpentry and joinery services, including first fixings, second fixings, roofing, cladding and high-end joinery. We are also VELFAC approved contractors who can offer BM Trada fire door certification. Our projects range from £25k to £3m in value across a variety of sectors such as education facilities, healthcare buildings, new housing developments student accommodation complexes and hotels; we even undertake renovations on existing structures. Working closely with main contractors enables us to ensure repeat business through our commitment to delivering quality results that meet deadlines without any snags or issues along the way.  At ABC Joiners Ltd., we strive for excellence every day!","[1, 9]"
1588,"Guardian Fire and Security (GFS) Ltd have been providing satisfied customers in the South East Region with top-notch fire and security solutions since 1979. GFS are committed to ensuring that your premises remain safe and secure, which is why we offer a wide range of services such as Fire alarms, Intruder alarms, CCTV systems, Access control units, security personnel deployment, Emergency Lighting installation/maintenance ,Fire extinguishers supply/installation and AOVs. We work on all types of properties regardless of size or complexity so you can be sure that all your fire & security needs will be expertly managed by our highly experienced team who always strive to give you the peace of mind you deserve.","[89, 61, 93]"
1589,"At All Round Plumbing Solutions, we provide a comprehensive range of core services which include plumbing design, installation and servicing compliant with water regulations. We can handle all general plumbing works large and small such as rainwater guttering and gullies, hot and cold water services, drainage pipework. In addition to this, our gas services cover commercial and domestic boiler systems along with catering/kitchen designs for installations or fault finding & servicing. Furthermore we have expertise in commercial & domestic gas safety compliance including hot & cold monitoring inspections plus cleaning & disinfection processes; water sampling is also available alongside remedial work following surveys. Maintenance solutions are offered both reactively or through planned preventative maintenance programmes while building/property service works are undertaken too - from toilet block refurbishments to kitchen installations right up to accessible bathrooms/wet rooms being installed in new construction projects or existing ones that require refurbishment",[74]
1590,"As an independent, design-focused firm our mission is to craft captivating play areas in any setting - public parks, schools, housing developments or leisure facilities and attractions. Our award-winning team of designers select the perfect landscape features and equipment for each project with precision. We are a premier supplier of top quality products throughout the UK that provide maximum flexibility for customers while meeting industry standards. All our offerings are comprehensive, inclusive and cutting edge.",[33]
1591,"Greenland Landscapes Ltd have been providing specialist landscape construction and grounds maintenance services to commercial and public authority clients in Southern England for 45 years. Our extensive experience combined with a wide range of craft skills allows us to deliver projects efficiently, economically, and always meeting our client's objectives. We are experienced in constructing, establishing, and maintaining new landscapes as part of commercial or public amenity development projects such as industrial sites, residential areas or large domestic schemes. In addition to this we offer comprehensive services throughout the entire process from ecological resolutions through site clearance all the way up to hardscape construction followed by formative maintenance - something that is essential for sustaining any newly created landscape's potential. Furthermore we boast an impressive record of long-term involvement when it comes to maintaining prestigious high amenity value developments along with historic gardens/grounds.","[51, 52]"
1592,"Established in 1986, Electric Solutions has been providing expert industrial and commercial electrical installations for over 30 years. Our experienced team of electricians are on hand to provide prompt repairs, maintenance or installation services that meet the highest safety standards. We understand how important it is for businesses to have reliable electrics so we strive to offer a friendly yet professional service no matter where you're based in the UK. Whether you need help with retail outlets, factories or other sites - our contractors can assist with all your electrical requirements.","[64, 62, 63]"
1593,"Specialists in industrial and commercial, residential and sports & leisure sectors Established in 1993, Eagle Construction operates as a main contractor for residential, commercial and sports and leisure projects. Over 25 years the company has delivered numerous schemes nationwide.  With a team-wide commitment to rigorous project planning, tight fiscal control, socially considerate contracting and exceptional quality workmanship, Eagle Construction has earned a reputation for executing challenging, often innovative projects to the highest standards - to schedule and within budget. Our residential contract experience is diverse. Projects include traditional Cotswold stone private houses; contemporary redevelopment for city waterside apartments; bespoke designed executive dwellings; new developments within sensitive rural village settings with limited access or neighbouring occupancy. We work closely with architects developers local authorities others applying our knowledge of wide range materials building methods ensure efficient high quality construction Increasingly conjunction housing associations Eagle Construction building shared ownership stock meet country's growing need high quality affordable housing offer proven experience excellent communication professional resource total accountability efficient timely project delivery",[36]
1594,"We will take on any refurbishment, handling or storage tasks, whether it's a single project or an entire turnkey solution. With over three decades of success in the industry and our expertise in providing mezzanine floors, we have a clear advantage over many competitors. We understand that health and safety are paramount today so to demonstrate our commitment we are accredited by SEMA (Storage Equipment Manufacturers Association) - the leading trade association for businesses adhering to industry standards and good practice - as well as being part of SAFE Contractor scheme which helps clients make informed decisions about safe installations. All this should give you confidence when choosing us at XYZ Solutions Ltd for your projects.","[14, 15]"
1595,"The Flooring Specialists provide a comprehensive range of commercial and domestic floor coverings, including carpets, carpet tiles, matting systems, vinyl floors (including safety and decorative varieties), laminate and wood - both solid and engineered. We also offer rubber flooring as well as the necessary preparation services prior to installation. Our team is highly experienced in handling projects from reactive maintenance works for banks, supermarkets or licensed establishments through to new build apartment blocks/offices schools & colleges leisure facilities or council refurbishments requiring safety flooring solutions. All our fitters are fully trained with CSCS cards while we hold CHAS accreditation plus £5 million employers liability insurance & £10million public liability coverage.",[5]
1596,"Bob Smith Ltd is an energetic organisation that puts its customers and staff at the forefront of everything we do. We are proud to have a team full of experienced, long-serving members who create a positive atmosphere in our workplace; this enables us to provide excellent customer service with great value for money. Our areas of expertise include heating installations (gas, oil & LPG), renewable energy solutions, boiler maintenance, plumbing services, electrical work, construction projects, 24 hour locksmiths as well as glazing works carpentry and decorating.","[72, 77, 78, 79]"
1597,"The mission of SPS Ltd is to provide a first-class scaffolding service to the construction industry. The company will guarantee that its services are carried out with consideration for the health and safety of its personnel, other tradespeople and members of the public. SPS Ltd have made an absolute commitment to security and sustainability by making sure that their CITB trained team follow all regulations related to this sector. The firm will offer their services in accordance with their Health, Safety, Environment & Quality manual so as to ensure customer satisfaction. Success will be calculated based on repeat customers due to them having faith in the business's capability of meeting or surpassing expectations regarding cost, quality, service and experience levels. Additional certifications: CSCS - CSCS PLATINUM STANDARD (90%).",[25]
1598,"MJS Construction Ltd. is a small building firm based in Broxbourne, Hertfordshire and we take pride in offering an all-inclusive construction service with over 40 years of combined hands-on experience. We specialise in custom extensions and refurbishments for private customers as well as providing our services to local authorities on social housing projects, external decoration programmes and roofing solutions for pitched or flat roofs. With more than four decades of working across London and Hertfordshire, MJS has provided top quality work to many clients while meeting their individual needs through bespoke services. Our commitment to excellence means that we always discuss costs and project requirements on a case by case basis; it's this passion which drives us towards completing projects at the highest level possible - anything less than perfect simply won't do!","[41, 37, 22, 31]"
1599,"Heller Architects is a global architecture firm dedicated to providing services for the most innovative companies and institutions around the world. Our clients are those who understand that value can be found in both financial returns as well as contributing positively to our urban environments and communities. With projects spanning over 40 countries, we offer designs ranging from office towers and residential buildings to civic spaces, cultural centers, and educational facilities. We strive to create high-quality places with contextual awareness that will have a lasting impact on their cities.",[90]
1600,"We are a national organisation with local roots, providing value and innovative construction projects from our new head office in Preston Lancashire. LCM Group is a privately owned business that has been around for over 50 years and is expanding carefully to maintain its core values. The company works closely with both clients and employees, using the safest working practices possible while also delivering excellent service. Our project management team ensures delivery certainty through their extensive knowledge and experience of reviewing performance levels and procedures regularly. We strive towards best practice Health, Environmental Sustainability standards by being accredited to ISO 9001: 2016, ISO14001: 2004 & OHSAS 18001: 2007 Occupational Health & Safety Management Systems as well as running an ‘IMS’ integrated management system which we constantly measure against set targets.","[31, 32, 33, 40, 64, 85]"
1601,"Reeder Construction is a well known and respected Westcountry groundworks and civils contractor. We have expertise in many types of construction projects, from small drop kerbs to major earth moving operations, extensions and engineering works. Our team are adept at working in restricted spaces too. We cover Plymouth, South Hams as well as much of Devon with our services. Safety is paramount for us; we hold CSCS & CPCS accreditations plus numerous qualifications & licences that ensure the highest standards on all jobsites. Additionally, Reeder Construction has achieved ISO9001:2015 certification status.","[43, 44, 47, 53, 54, 57]"
1602,"Smithson Building Solutions is a leading Glasgow-based contractor specialising in Roofing and Cladding Solutions for Commercial, Industrial and Residential projects. Our highly trained and experienced team are dedicated to providing quality workmanship with outstanding customer service. In recent years we have expanded our business to include sheet metal fabrication of Aluminium, Stainless Steel as well as pre-finished and Galvanized Steel products. Through an internal design and manufacturing process we can offer substantial cost savings while reducing project timelines for our clients. We take on jobs of all sizes - from small repairs right through to large scale builds - working closely with you throughout the entire process so that your exact requirements are met every time. Additionally, we provide Electronic Testing services too if required.","[34, 19, 38]"
1603,"Oakwood Engineering Ltd is one of the leading providers of mechanical and electrical maintenance in London and South East England. We work with facility management companies, managing agents and owner occupiers to ensure that our services are delivered safely, sustainably, efficiently and without disruption to your business. Our portfolio includes commercial offices; selected retail; high end residential; education; hotels and healthcare sites which can be both resident or mobile based. Our scope of activities include planned maintenance, reactive maintenance, BMS maintenance , water treatment & hygiene as well as a 24/7 helpdesk open 365 days a year including emergency call out cover. We use best-in-house Computer Aided Facility Management (CAFM) system coupled with our bespoke Management Information System (MIS), used by dedicated helpdesk & administration teams for exceptional customer service delivery . With over 30 years experience in the industry combined with more than 100 employees we bring together technical knowledge & industry expertise for clients benefit .We strive on creating long term relationships through reliability ,experience& dedication we have to offer  along side introducing innovative approaches where ever possible",[85]
1604,"Harrison Finishes Ltd is committed to providing a dependable, quality-assured service, completing projects on schedule and with cost certainty. With more than 20 years of experience in industrial, commercial and domestic painting & decorating combined with outstanding customer support; secure working practices, technical expertise and high-quality craftsmanship Harrison Finishes Ltd (HFL) can provide for all your painting needs. Based in Liverpool we cover the whole North West region as well as North Wales and beyond. Our staff are fully trained according to the latest HSE guidelines including CSCS, Pasma, IPAF and SSSTS so that we offer an efficient yet safe competent service where our customers' satisfaction is paramount. Before beginning any work we engage in extensive conversations with all our clients ensuring maximum customer satisfaction along with peace of mind.","[18, 11]"
1605,"The Brightstone Holdings Group consists of Brightstone Dry Construction Limited, a specialist Dry Lining contractor in the UK and BPlant Limited, a property development company in East Sussex, specialising in larger scale bespoke projects with considerable experience in commercial and residential building projects.  Brightstone Dry Construction provide Dry Lining packages from £100,000 to circa £6M for both Residential and Commercial projects primarily located within the South of England. Our years of expertise coupled with our strong relationships with clients enable us to carry out an extensive range of jobs across the United Kingdom. We strive towards excellence when it comes to all developments we are involved with; this commitment has enabled us to build new customer connections on a regular basis while maintaining long-term ties with existing customers.","[27, 14, 15]"
1606,"Garrison Building Corporation has the expertise and experience to handle new construction, design & build, restoration, interior installations and building maintenance projects with a total value of up to £35 million. Our friendly yet professional attitude towards business has enabled us to secure numerous partnering frameworks as well as preferred contractor agreements from local government bodies, high street retailers and major grocery stores. The fact that we continue receiving repeat customers is proof of our commitment in delivering excellent service by first understanding what clients need before providing them with results that meet or exceed their expectations.","[34, 38, 39, 92, 28]"
1607,"Auric Compliance Services Ltd is a family run business, specialising in Testing, Inspection, Lightning Protection, Maintenance, Installation Design and Energy Management and Refurbishment for both private and public sector clients. We provide high quality services to help our customers meet the growing challenges of safety standards compliance as well as environmental protection and social responsibility. Auric Compliance Services Ltd offers innovative solutions that go beyond simple adherence to regulations and standards; reducing risk while improving performance with an emphasis on sustainable development. Our core values are customer focus along with workplace safety which we strive to maintain through ongoing staff training initiatives alongside informing customers of any changes in Health & Safety Legislation. At Auric Compliance Services Ltd we believe quality integrity reliability are key elements within our approach towards conducting business with all of our valued customers Other certifications: QMS International Plc - (Non UKAS) BS EN ISO 14001; QMS International Plc - (Non UKAS) BS EN ISO 9001; QMS International Plc - (Non UKAS) BS OHSAS 18001","[91, 69, 70]"
1608,"JPH Construction Ltd is a ground works and civil engineer contractor based in Poole, Dorset offering clients an exceptional standard of ground works for the last 40 years. We undertake all forms of domestic and commercial groundwork’s including Driveways Pointing and Dropped Kerbs.  We take great pride in providing our customers with superior work at competitive rates. Our teams are highly trained professionals equipped with the latest equipment and techniques to ensure we deliver efficient groundwork services every time. The services we provide include:  Dropped kerbs Substation work Excavations around live cables Pointing Driveways and footings Roofing & drainage Extensions Fencing & decking Disabled access Garages Brickwork Facias Drainage Paving","[46, 87]"
1609,"Our aim:   Our goal is to provide fixtures that precisely meet our customers' needs with safety and quality in mind. Both Directors have 15+ years of experience in the scaffolding industry across all sectors, including commercial, industrial and residential. This wealth of knowledge will be used to benefit both our clients and employees.  NSL offer a service where Health & Safety as well as communication between client, management and workforce are top priorities. We pay close attention to detail on every project regardless of size which helps us maintain consistently high levels of customer satisfaction resulting in repeat business while also building strong relationships with our clients. Our fully trained, highly experienced staff are dedicated to working closely alongside each client for every job we do so that it's completed perfectly without any delays or issues arising along the way. Above all else we focus on providing an impressive service for our customers whilst never compromising safety; this is why we only ever promote from within so that these core values remain intact at all times.",[25]
1610,"We are a multi-faceted construction company with the capacity to complete projects of any size, from £5,000 up to £4million. Our services include all aspects of building work and we have been working in the local area for over 30 years; giving us extensive knowledge in Health, Clinical, Education, Industrial, Commercial Manufacturing and Defence sectors. We employ highly trained supervisors as well as our own staff so that you can be sure your project is completed to the highest standard on time without disrupting your business operations.","[34, 35, 36, 41, 92]"
1611,"Farnsworth Masonry & Enabling Works is a specialist company that was created with the goal of providing quality and service. We offer both supply only and supply and fix services, drawing on our extensive knowledge in this field to provide value engineering solutions tailored to meet your needs. Every project has its own dedicated management team who will be there from start to finish, ensuring you have one point of contact throughout for an efficient process.","[26, 22, 87]"
1612,"For over 30 years, ABC Services has been providing mechanical and plumbing services to a variety of industries. Our team is dedicated to delivering high quality installations from boiler houses to CAT A and CAT B fit-outs for both mechanical and plumbing systems. We also offer management support for the supply chain process. 
Some of our most notable projects include Houses of Parliament, Citi Bank Canary Wharf, Goldman Sachs Great Ormond Street as well as an innovative geothermal pipe installation in Kingston upon Thames that drew water from the Thames while gaining heat through thermal transfer from soil combined with electricity generated by a transformer centre which provided heating for accommodation built above it using 315mm diameter SDR17 fusion plastic pipes. Our labour force consists highly qualified plumbers, pipefitters welders & coded welders who are committed to producing excellent results every time they work on a project.",[80]
1613,"Greenway Services offers a top-notch service for public, private and domestic customers in both industrial and commercial markets. Our core services include supplying, installing, testing, commissioning and maintaining all mechanical, electrical & air conditioning systems. We also provide energy consulting and building services to offer an entire package solution. By combining these offerings into one contract we can present considerable savings as well as improved communication through one contact method leading to more efficient project timelines. This allows our projects to stay on track with budget constraints in mind.","[70, 75, 76, 77, 62]"
1614,"Ridgemere Ltd., based in Liverpool, is an experienced property development firm. We are dedicated to providing outstanding service and quality on each of our projects, making us one of the leading construction companies in the UK. Our customer-focused attitude allows us to provide tailored solutions that meet our clients' needs and requirements. At Ridgemere Ltd., we understand that every project requires special attention; therefore, we strive for efficiency by ensuring all projects are completed on time with high standards within budget constraints. As a result, our years of experience have enabled us to improve infrastructure while paying close attention to detail so as to exceed expectations from our customers.",[28]
1615,"FloorTech Solutions is a professional company offering complete floor solutions to our customers. Our expertise in sub-floor preparations as well as in finishes, coupled with our absolute dedication and commitment to offering an exceptional level of service to our customers, means we are the ideal answer to all your flooring needs. Based in Milton Keynes and operating nationally, FloorTech Solutions has the necessary experience within the flooring industry to undertake any floor works and our punctuality is second to none; we will coordinate the floor works in line with construction programmes to create on site cohesion between management and trades.","[17, 4, 7]"
1616,"Bryon Electrical Limited carry out all aspects of electrical installation and maintenance and are approved with the NICEIC. Bryon also have a sister company Fairview Property Services Limited who together carry out a full range of construction works. Between both companies they employ Certified PV Installers, Certified Network Installers, Certified OFTEC Technician, Certified Unvented Hot Water System Installers, Certified Air Source Heating Installer Plumber Electricians Carpenters Brick Layers Plaster. Bryon also operate a goods operators license and are able to therefore transfer all plant and goods as required including the transfer of waste/redundant materials off site.","[11, 14, 62, 31]"
1617,"Fitzgerald Surfacing Ltd carries out Surfacing, Road Planing, Civil Engineering and Road Marking using a directly employed, trained and competent workforce. Fitzgerald operate a wholly owned fleet of plant including planers, tippers, pavers, rollers, road sweepers excavators and road marking lorries. Formed in 1973 Fitzgerald has maintained the values of a family owned and managed contractor while gaining the expertise required to satisfy a wide range of public and private sector Clients throughout Scotland. From domestic footpaths and driveways up to £1M value contracts Fitzgerald demonstrates exceptional quality of workmanship with high levels of commitment to Clients. One proud moment for the Company came in 2011 when they were granted Royal Warrant from her Majesty The Queen as an approved Road Maintenance Contractor. Accreditations include Constructionline & SafeContractor","[53, 55]"
1618,"At The Roofing Professionals, we specialize in flat roof installation, refurbishment and maintenance for both public and private sector clients. Our team has worked with some of the most renowned names in the industry to ensure that each waterproofing project is completed using the best possible system based on client preferences, usage patterns, expected lifespan and any surveys or analyses conducted. We offer a variety of services including: Built Up Roofing; Single Ply Roofing; Hot Melt; Mastic Asphalt; Liquid Coatings; Pitched Roofs and Green Roof installations.",[20]
1619,"PREMIER NI Scaffolding is a well-established scaffolding company based in Belfast. We are a family owned business founded in 2011 and have been steadily growing our client base ever since. With more than 18 years of experience in the industry, we strive to provide top quality service every time. PREMIER NI Scaffolding takes pride in delivering complete customer satisfaction on each project we undertake. Our team will work with you to find the best possible solution for your needs. All of our scaffolds comply with all necessary regulations and codes of practice as they are built by certified CISRS qualified personnel.",[25]
1620,"Seaside Builders of Bromley present to you a comprehensive and all-encompassing building service, which includes Ground works, Bricklaying, Plastering, roofing, Electrical Installation, Gas and Central Heating services ,Plumbing services new builds large and small extensions property remodels and refurbishments Kitchen and bedroom design Carpentry & Joinery (First & Second fix) Painting & decorating Project Management feasibility Studies. Seaside embraces every aspect of construction design build maintenance. We have through our extensive experience in these areas assembled the best tradespeople; we can fulfill your requirements.  Seaside Builders cover all parts of ""The Brighter Borough"" so for the highest standards of Building Services in Chislehurst Bickley Orpington Beckenham contact us today .We strive to provide our clients with complete satisfaction so as to keep them coming back again while also gaining their recommendation for other customers.","[11, 16, 19, 33, 50, 77]"
1621,"We provide a range of services, including ground works, kerbing & edging, drainage installation, sub base construction and surfacing. We are compliant with the requirements of Sector 16 and 14 of the National Highway Sector Scheme. Our contracting activities include working for Devon County Council, Torbay Council and Exeter City Council as well as other members of Main Contractors Group. All our staff have completed or are in the process of completing relevant NVQs while all operatives hold CSCS cards; plant operators also possess CPCS qualifications too. Furthermore we have implemented Health & Safety Management systems which is overseen by an experienced professional to ensure safety standards remain high at all times. Finally we can accept e-tenders so please get in touch if you would like us to submit one on your behalf - this is something that The Greenway Company specialise in!",[53]
1622,"Thompson Building Solutions Ltd is a Cambridgeshire-based Company established in 2007. We specialize in providing labour and materials for brickwork projects on mainstream building sites. Our portfolio includes the largest zero carbon housing site as well as numerous award-winning construction sites that have earned us Pride of Job awards from the NHBC and accolades from the LABC. On top of this, we also offer complete services to domestic clients regardless of project size or specifications.","[39, 37, 87]"
1623,"Established in 1964 and currently under the ownership of Nigel Lister (Sole Trader), Cambridge Decorators is a well-known award winning painting and decorating company working in and around Cambridge and Newmarket. Over the years we have built an unrivalled reputation for providing professional internal and external decorating services as well as essential maintenance throughout residential and commercial property. From business premises to public houses, studs to retail outlets, our expert team offer a service that is highly cost effective yet very discrete. Areas Covered: Cambridge Decorators work within 45-50 minutes travel time from Newmarket including areas such as Ipswich, Saffron Walden, Bourne, Ely Haverhill & Bury St Edmunds.",[18]
1624,"Miles Building Services Limited is a highly reputable and trustworthy Peterborough based company, specialising in the provision of a variety of adaptations to homes and businesses for the elderly and disabled within Peterborough and Surrounding Area. We have completed numerous adaptations on behalf of private customers and Peterborough City Council’s Care and Repair Agency for over ten years, ranging from electrical works, building works, wet rooms, ramps etc. as well as extensions, garage conversions and plumbing & heating works.  We have also delivered roofing & EWI contracts to Bedfordshire Pilgrims Housing Association along with other remedial works. We pride ourselves on offering exceptional customer service believing it paramount to our business & reputation For peace of mind Miles Building Services Limited are: A Peterborough based company Gas Safe Registered no 505712 Our small family team are all fully DBS checked Construction line accredited reg no 122089 (The only UK Government owned pre-qualification scheme for construction industry)-giving our customers peace of mind Have over 10 years experience specifically working with the elderly & disabled within thePeterbrough area plus 20+years experience within building industry","[37, 39, 8, 41, 31]"
1625,"ABC Construction & Home Improvement is an established building firm with over two decades of experience in all aspects of commercial and residential construction projects and property maintenance. We have extensive knowledge when it comes to building conversions, extensions, plaster-work, tiling, painting and decorating, central heating systems installation/repairing , UPVC double-glazing windows and doors fitting/replacement services , fitted bathrooms and kitchens design/installation works , carpentry workmanship , roofing solutions for both domestic or industrial properties as well as driveways paving or patios laying. We provide a tailor made service that suits individual budgets without compromising on quality standards while taking into account the desired styles along with time frames needed for completion . All our work meets safety regulations set by qualified builders plumbers electricians carpenters etc..","[34, 38, 31]"
1626,"Brilliant Brushworks Limited We are a small painting and decorating company consisting of one director, 5 employees, five working supervisors and fifteen experienced qualified operatives. We have been trading as a limited company since 2014. Brilliant Brushworks provides a range of interior decorating finishes such as emulsion, gloss, satin, wall paper hanging, wood stain and floor stain. We also provide exterior and finishes and specialist work such as anti-graffiti coating, epoxy floor paint, intumescent fire protection ,anti-fungicidal solution ,weather proofing ,mould treatment window care system &wood work protection . Over the past years we have completed a huge range of painting &decorating contracts for Builders/Contractors such as Higgins Construction St George Plc., McLaren Construction Breyer Group Plc., Bugler Developments Kind & Co (Builders) Limited Peppiatt Contractors Hill Partnership Ltd Bouygues UK Honey Bunn Construction Clegg Constructions Oakdean Construction Berkeley Group Barratt London Building Associated Limited City& Westminster Ltd HG construction Concept Development Rooff ltd Taylor Wimpey etc Brilliant brushwork is well versed on health safety with good environmental policy up to date modern techniques",[11]
1627,"Complete Reconstruction Services Ltd has been providing quality refurbishment and fit out projects since April 2007. We offer a comprehensive service for jobs of up to £500,000 in the commercial, education, leisure and public sectors. Our customer-centric approach ensures that our clients receive an excellent standard of workmanship which is why we have earned 80% repeat business from satisfied customers who recommend us to others. Our team consists of experienced tradespeople as well as reliable suppliers with whom we collaborate closely on all projects. Additionally, Complete Reconstruction Services holds certifications such QAS International (Non UKAS), BS EN ISO 9001 SSIP and Safecontractor accreditation.","[0, 33, 9, 14, 15]"
1628,"Established in 2011, JSE Contractors works in partnership with local authorities, schools, housing associations, commercial, industrial and domestic clients across the region.  JSE is approved by local authorities to provide a full range of electrical and building services. We employ our own highly trained and skilled workforce to ensure quality at all times, and our partnering schemes allow us to provide consistently high standards across our range of electrical, building ,refurbishment and maintenance services. Our full NIC EIC electrical services division will ensure your premises are fully compliant with all the relevant legal and statutory requirements. Our building services are equally comprehensive; ranging from minor repairs right throught o complete refurbishments.","[64, 70, 31]"
1629,"Advanced Heating, Plumbing and Ventilation Installations  	Offices, Schools, Colleges and Public Building Installations  	Compressed Air Installation  	Gas Boiler Servicing and Maintenance  	Gas Service Pipework, Gas Meter Set Ups, Gas Booster Sets  	Direct Fired Heating Steam Raising Plant and Steam Process Pipework Domestic and Industrial Hot Water Systems & Cold Water Supplies    Compressed Air Systems ,Installations of all Plant including Compressors Receivers And Dryers    Installations can be carried out using Carbon Steel Welded or Screwed Stainless Steel ABS And PVC Plastic.     GasSafe Register    BES Register   Construction Line Approved Contractor     ISO 9001 14000 Accredited Contractor     CHAS Accredited","[74, 76, 77, 80, 83]"
1630,"Heathfield Constructions is a family owned business which was established in 1995. It has evolved from the H L Heathfield & Sons, founded around 1896 and traded through four generations to its current form as Heathfield Constructions Limited. We have earned a reputation for providing quality construction services, with most of our workload coming from recommendations by existing clients and consultants. Our goal is to bring together tradition and innovation along with craftsmanship and effective management practices. We work closely with our clients and consultants in an atmosphere of cooperation towards completing projects on time, within budget while still maintaining desired standards of quality. The company currently employs over 150 people who have been loyal employees for many years; additional specialist subcontractors are hired when necessary. At Heathfield Construction we believe that success comes from combining professional performance alongside excellent workmanship giving customers great value for their money",[28]
1631,"Established in 1992, BH Constructions Limited has developed a reputation for constructing high quality buildings with the best materials and delivering on time. We have established strong relationships with reliable local tradespeople over many years of working together. To develop our contracting services further, we set up BH Constructions (Contracting) Limited in August 2015. Currently we are building between 50-80 units per year across the Midlands region for Housing Associations under JCT design and build contracts as well as offering land and build packages of our own.","[28, 39]"
1632,"KLN Electrical provides a comprehensive range of services from minor electrical repairs to complete electrical installations, inspections and lighting design. This includes emergency lighting and data cabling installation. No matter if you are a developer, landlord or commercial business - KLN Electrical is the number one choice for you! With over 14 years of experience in this field we guarantee high-quality service with safety as our priority. We understand how important it is to have reliable partners when your own business depends on them; that's why at KLN we offer prompt professional service for any kind of company - be it an office building, workshop or warehouse. Our team can carry out all kinds of alterations & additions to existing systems as well as designing, erecting and commissioning new ones. So don't hesitate - choose KLN today!","[65, 59, 62]"
1633,"F and F Building Services are based in New Cross, within the London Borough of Lewisham. We undertake a range of projects across London within social housing, schools in repairs and maintenance as well as private work. Our services include plasterboarding, plastering, rendering, flooring tiling ,floor levelling plumbing electrical garden clearance chemical cleaning voids cleaning glazing general building works carpentry loft conversions property repairs & maintenance painting decorating brickwork blockwork refurbishment wood work fences timber treatment concrete voids and more! In addition to our comprehensive list of services we also hold Exor Management Services - EXOR Silver+ certification for your peace of mind.","[64, 33, 31]"
